,Profile_Category_Accessibility_Count,Profile_Category_Bathroom_Personal_Count,Profile_Category_Bedding_Comfort_Count,Profile_Category_Business_Work_Count,Profile_Category_Climate_Control_Count,Profile_Category_Essential_Tech_Count,Profile_Category_Kitchen_Dining_Count,Profile_Category_Outdoor_Recreation_Count,Profile_Category_Safety_Security_Count,Profile_Category_Transportation_Count,Profile_Category_Family_Pets_Count,price,log_price,longitude,latitude
2674,0,3,2,1,1,0,0,0,2,0,0,272.0,5.605802066295998,114.16824,22.30681
2675,0,0,2,1,1,0,0,0,2,0,0,260.0,5.560681631015528,114.1680934,22.30684804
2676,0,3,1,1,1,0,0,0,2,0,0,237.0,5.4680601411351315,114.16847,22.30489
2677,0,3,2,1,1,0,0,0,2,0,0,227.0,5.424950017481403,114.16955,22.30707
2678,0,3,2,1,1,0,0,0,2,0,0,277.0,5.6240175061873385,114.17032,22.30642
2679,0,3,2,1,1,0,0,0,2,0,0,209.0,5.342334251964811,114.167983,22.30554906
2680,0,3,2,1,1,0,0,0,2,0,0,189.0,5.241747015059643,114.16796,22.30537
2681,0,3,2,1,1,0,0,0,2,0,0,294.0,5.683579767338681,114.17006,22.30562
2682,0,0,0,2,1,0,1,0,4,0,0,306.0,5.723585101952381,114.19908,22.29136
2683,0,0,0,2,1,0,1,0,4,0,0,316.0,5.755742213586912,114.1976208,22.29152022
2684,1,5,2,2,1,1,7,0,0,0,1,852.0,6.747586526829315,114.1759732,22.28023599
2685,0,6,5,2,2,1,8,0,1,0,1,570.0,6.345636360828596,114.16684,22.244926
2686,1,5,5,2,1,0,4,0,1,0,0,360.0,5.886104031450156,114.11645,22.37317
2687,0,0,0,2,1,0,1,0,0,0,0,449.0,6.1070228877422545,114.19586,22.29202
2688,1,2,1,1,1,1,0,0,5,0,0,309.0,5.733341276897746,114.1705157,22.30963549
2689,0,4,5,2,2,1,10,6,2,1,1,325.0,5.783825182329737,113.9910779,22.26312601
2690,0,0,0,1,1,0,0,0,0,0,0,200.0,5.298317366548036,114.17441,22.29839
2691,0,2,1,1,1,0,0,0,0,0,0,148.0,4.997212273764115,114.17557,22.29897
2692,0,0,0,1,1,1,0,1,5,0,0,278.0,5.627621113690637,114.17009,22.30466
